Registro,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Driver,CurrentWeight,Componente,KM_Lap,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Event,AVG
108,101.564,54,2,HARD,29,Red Bull Racing,VER,764,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.5967647
109,101.119,55,2,HARD,30,Red Bull Racing,VER,762.1851852,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.08
111,103.061,2,1,MEDIUM,5,Ferrari,LEC,858.3703704,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2078947
112,103.272,3,1,MEDIUM,6,Ferrari,LEC,856.5555556,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.56735
113,103.155,4,1,MEDIUM,7,Ferrari,LEC,854.7407407,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6763
114,103.501,5,1,MEDIUM,8,Ferrari,LEC,852.9259259,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.9136
115,103.764,6,1,MEDIUM,9,Ferrari,LEC,851.1111111,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8169
116,103.32,7,1,MEDIUM,10,Ferrari,LEC,849.2962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.32185
117,103.172,8,1,MEDIUM,11,Ferrari,LEC,847.4814815,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.3538
118,103.109,9,1,MEDIUM,12,Ferrari,LEC,845.6666667,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,107.17985
119,103.353,10,1,MEDIUM,13,Ferrari,LEC,843.8518519,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.12195
120,103.315,11,1,MEDIUM,14,Ferrari,LEC,842.037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1817
121,105.143,12,1,MEDIUM,15,Ferrari,LEC,840.2222222,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2843
122,123.596,13,2,HARD,1,Ferrari,LEC,838.4074074,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,108.3069
123,101.938,14,2,HARD,2,Ferrari,LEC,836.5925926,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.7215
124,101.997,15,2,HARD,3,Ferrari,LEC,834.7777778,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.92595
125,102.208,16,2,HARD,4,Ferrari,LEC,832.962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.91625
126,103.395,17,2,HARD,5,Ferrari,LEC,831.1481481,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.18495
127,102.973,18,2,HARD,6,Ferrari,LEC,829.3333333,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2259
128,102.758,19,2,HARD,7,Ferrari,LEC,827.5185185,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8894
129,102.998,20,2,HARD,8,Ferrari,LEC,825.7037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.80105
130,102.794,21,2,HARD,9,Ferrari,LEC,823.8888889,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.62145
131,103.117,22,2,HARD,10,Ferrari,LEC,822.0740741,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1132
132,102.914,23,2,HARD,11,Ferrari,LEC,820.2592593,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.96145
133,102.951,24,2,HARD,12,Ferrari,LEC,818.4444444,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.55695
134,103.443,25,2,HARD,13,Ferrari,LEC,816.6296296,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2558
135,102.824,26,2,HARD,14,Ferrari,LEC,814.8148148,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.44505
136,102.852,27,2,HARD,15,Ferrari,LEC,813,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.98385
137,103.172,28,2,HARD,16,Ferrari,LEC,811.1851852,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.79675
138,102.773,29,2,HARD,17,Ferrari,LEC,809.3703704,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.92835
139,102.888,30,2,HARD,18,Ferrari,LEC,807.5555556,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.6703
140,103.12,31,2,HARD,19,Ferrari,LEC,805.7407407,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.77715
141,104.968,32,2,HARD,20,Ferrari,LEC,803.9259259,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.97535
142,103.466,33,2,HARD,21,Ferrari,LEC,802.1111111,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.8818
143,102.97,34,2,HARD,22,Ferrari,LEC,800.2962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.8103
144,102.759,35,2,HARD,23,Ferrari,LEC,798.4814815,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.76795
145,103.052,36,2,HARD,24,Ferrari,LEC,796.6666667,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.9835
146,103.459,37,2,HARD,25,Ferrari,LEC,794.8518518,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.0281
147,104.98,38,2,HARD,26,Ferrari,LEC,793.037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.95045
148,120.803,39,3,SOFT,1,Ferrari,LEC,791.2222222,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6059
149,100.514,40,3,SOFT,2,Ferrari,LEC,789.4074074,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.6935
150,101.022,41,3,SOFT,3,Ferrari,LEC,787.5925926,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.87365
151,100.999,42,3,SOFT,4,Ferrari,LEC,785.7777778,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.4535
152,100.751,43,3,SOFT,5,Ferrari,LEC,783.962963,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.2641
153,100.442,44,3,SOFT,6,Ferrari,LEC,782.1481481,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.7773
154,100.868,45,3,SOFT,7,Ferrari,LEC,780.3333333,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.44485
155,100.886,46,3,SOFT,8,Ferrari,LEC,778.5185185,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3784737
156,101.222,47,3,SOFT,9,Ferrari,LEC,776.7037037,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0484211
157,101.712,48,3,SOFT,10,Ferrari,LEC,774.8888889,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0486842
158,102.019,49,3,SOFT,11,Ferrari,LEC,773.0740741,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.9504737
159,102.421,50,3,SOFT,12,Ferrari,LEC,771.2592593,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.8666316
160,102.195,51,3,SOFT,13,Ferrari,LEC,769.4444444,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0323684
161,101.882,52,3,SOFT,14,Ferrari,LEC,767.6296296,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3493684
162,101.878,53,3,SOFT,15,Ferrari,LEC,765.8148148,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.2232105
163,102.127,54,3,SOFT,16,Ferrari,LEC,764,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.5967647
164,102.829,55,3,SOFT,17,Ferrari,LEC,762.1851852,C5,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.08
